項次,事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
43,高峯營造事業股份有限公司,勞動基準法第27條,限期令其改善仍未改善。,府勞動字第10235939100號,102年10月21日
44,英業達股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235928000號,102年10月22日
44,英業達股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10235928000號,102年10月22日
45,新鎧科技股份有限公司,勞動基準法第27條,限期令其改善仍未改善。,府勞動字第10235941900號,102年10月24日
46,長鴻榮實業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235857500號,102年10月25日
47,安心食品服務股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235007100號,102年10月25日
47,安心食品服務股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10235007100號,102年10月25日
48,弼盛建設有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235942400號,102年10月25日
49,蛋塔工場食品股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235021000號,102年10月28日
50,莊水圳,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235857200號,102年10月29日
50,莊水圳,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235857200號,102年10月29日
50,莊水圳,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235857200號,102年10月29日
