項次,事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
1,山大人力有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235393600號,102/9/13
1,山大人力有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235393600號,102/9/13
2,雙富人力資源顧問有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235911900號,102/9/13
3,聯亞人力資源管理顧問有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10234988000號,102/10/1
