項次,事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
1,東京都保全股份有限公司,勞動基準法第21條第1項,未達基本工資。,府勞動字第10232015700號,102年5月7日
1,東京都保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10232015700號,102年5月7日
1,東京都保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10232015700號,102年5月7日
2,嘉賀保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10232628000號,102年6月6日
2,嘉賀保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10232628000號,102年6月6日
2,嘉賀保全股份有限公司,勞動基準法第38條,未依規定給予特別休假。,府勞動字第10232628000號,102年6月6日
3,家福股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10201639300號,102年6月6日
4,臺北市立聯合醫院,勞動基準法第9條第1項,違反規定訂定定期契約。,府勞動字第10232635100號,102年6月13日
4,臺北市立聯合醫院,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10232635100號,102年6月13日
5,智策整合行銷有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10232635400號,102年6月13日
5,智策整合行銷有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,府勞動字第10232635400號,102年6月13日
5,智策整合行銷有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10232635400號,102年6月13日
5,智策整合行銷有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10232635400號,102年6月13日
5,智策整合行銷有限公司,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10232635400號,102年6月13日
6,知漁水產股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10232659100號,102年6月14日
6,知漁水產股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10232659100號,102年6月14日
6,知漁水產股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10232659100號,102年6月14日
7,財團法人公共電視文化事業基金會,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10232662000號,102年6月20日
8,國泰世華商業銀行股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10233050000號,102年7月1日
9,國立故宮博物院,勞動基準法第9條第1項,違反規定訂定定期契約。,府勞動字第10201991900號,102年7月25日
10,上晟國際有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10234533300號,102年8月22日
10,上晟國際有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10234533300號,102年8月22日
11,馥曼國際股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235935500號,102年9月26日
11,馥曼國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235935500號,102年9月26日
11,馥曼國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235935500號,102年9月26日
11,馥曼國際股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10235935500號,102年9月26日
11,馥曼國際股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235935500號,102年9月26日
12,彰化商業銀行股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235184400號,102年11月5日
12,彰化商業銀行股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235184400號,102年11月5日
13,新鎧科技股份有限公司,勞動基準法第16條第3項,未依規定給付預告工資。,府勞動字第10235096000號,102年11月7日
13,新鎧科技股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235096000號,102年11月7日
13,新鎧科技股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235096000號,102年11月7日
14,伊頓飛瑞慕品股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235125300號,102年11月11日
15,香港商立德國際商品試驗有限公司台灣分公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10237088900號,102年11月18日
16,長鴻榮實業股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10236437700號,102年11月20日
17,介興營造股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10236798800號,102年11月27日
18,媚登峰健康事業股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10236443100號,102年11月28日
18,媚登峰健康事業股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10236443100號,102年11月28日
19,香港商壹傳媒動畫有限公司,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10236808100號,102年11月28日
20,叡揚資訊股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10237062800,102年12月11日
21,森田牧場國際有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10237029400號,102年12月13日
21,森田牧場國際有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10237029400號,102年12月13日
22,洪靜月,勞動基準法第65條第1項,未依規定備查技術生訓練契約。,府勞動字第10237071300號,102年12月18日
23,中德保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10237218100號,102年12月19日
23,中德保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10237218100號,102年12月19日
24,匯豐(台灣)商業銀行股份有限公司,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10237179400號,102年12月20日
25,安泰商業銀行股份有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,府勞動字第10237244500號,102年12月25日
26,歐艾斯保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10237340700號,102年12月27日
26,歐艾斯保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10237340700號,102年12月27日
