項次,事業單位或事業主之名稱、負責人姓名,違反法令條款,違反法規內容,處分書文號,處分日期,備註
2,北都汽車股份有限公司代表人周欽賢,勞動基準法第30條第1款,正常工作時間超過法令規定。,基府社關罰貳字第1030201533號處分書,103年1月10日,
2,大中華保全股份有限公司代表人吳進致,勞動基準法第30條第5款,未依規定置備勞工出勤紀錄表。,基府社關罰貳字第1030202840號處分書,103年1月20日,
2,全家便利商店股份有限公司代表人潘進丁,勞動基準法第36條,工作7天未有一天例假。,基府社關罰貳字第1030202841號處分書,103年1月20日,
2,全家便利商店股份有限公司代表人潘進丁,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,基府社關罰貳字第1030202841號處分書,103年1月20日,
